年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990,2925400.0,60000.0,35581.0,146000.0,105324.0,60727,200000.0,92100.0,122328.0,69600.0,164500.0,97114.0,108000.0,68073.0,92274.0,177000.0,182100.0,163400.0,133600.0,124015.0,75000.0,21620.0,62568.0,240711.0,5788.0,85000.0,5381.0,85500.0,49000.0,16000.0,10556.0,67414.0
1991,2992000.0,61744.0,37504.0,148100.0,107713.0,62929,200800.0,92700.0,124949.0,70100.0,167700.0,99300.0,111300.0,69000.0,92745.0,182000.0,184900.0,165200.0,135200.0,129774.0,77120.0,21402.0,64057.0,183100.0,59168.0,87400.0,5397.0,90200.0,51200.0,16300.0,11118.0,68504.0
1992,3049400.0,63230.0,38137.0,152000.0,108000.0,64446,201701.0,94900.0,127164.0,70700.0,170200.0,102000.0,115000.0,71000.0,93291.0,187000.0,189100.0,166200.0,136500.0,135527.0,79500.0,22397.0,64978.0,185800.0,57767.0,91000.0,5857.0,92900.0,52412.0,17000.0,11609.0,70400.0
1993,3099000.0,66000.0,39023.0,155400.0,111000.0,65221,203200.0,96500.0,127896.0,71200.0,173300.0,104033.0,117000.0,71300.0,93315.0,195000.0,189100.0,163000.0,136400.0,139812.0,81217.0,22830.0,65859.0,190700.0,57720.0,93000.0,5042.0,95600.0,55000.0,17000.0,13000.0,72400.0
1994,3134000.0,67112.0,38986.0,159100.0,110649.0,65464,203947.0,94700.0,128390.0,72000.0,174500.0,106400.0,119400.0,72824.0,94372.0,199000.0,191400.0,161300.0,134200.0,144865.0,82632.0,22658.0,66891.0,259000.0,59648.0,94000.0,5602.0,98400.0,55611.0,16900.0,13300.0,72500.0
1995,3141000.0,67000.0,39092.0,159000.0,110422.0,66515,203000.0,96600.0,126466.0,71000.0,174600.0,106421.0,120000.0,73644.0,93669.0,200000.0,192300.0,157800.0,135200.0,148825.0,84000.0,22383.0,67243.0,192500.0,60295.0,96000.0,6176.0,98800.0,56378.0,17200.0,13099.0,72955.0
1996,3100000.0,67000.0,39612.0,162000.0,109330.0,65247,201000.0,94900.0,121441.0,70000.0,170300.0,106246.0,121000.0,83684.0,88509.0,200000.0,189500.0,144200.0,133600.0,151553.0,84500.0,22283.0,66339.0,189200.0,58205.0,91000.0,6136.0,95900.0,56400.0,17500.0,13000.0,72000.0
1997,3135000.0,68000.0,40758.0,166200.0,111000.0,65387,200000.0,95000.0,121263.0,70000.0,170300.0,108000.0,123100.0,88710.0,90251.0,207000.0,189200.0,153000.0,134700.0,155313.0,88000.0,21704.0,69591.0,191100.0,57560.0,94000.0,6246.0,94800.0,57100.0,17200.0,13220.0,72000.0
1998,3143000.0,69100.0,40471.0,166000.0,110000.0,65794,200000.0,93200.0,120470.0,70200.0,170100.0,111000.0,124000.0,89280.0,91641.0,208000.0,194200.0,150900.0,134300.0,158351.0,85231.0,21480.0,65934.0,191000.0,57844.0,96000.0,6512.0,94800.0,58300.0,17100.0,13700.0,71100.0
1999,3159000.0,69500.0,39779.0,166237.0,109000.0,66367,194257.0,92100.0,120211.0,72400.0,172500.0,111121.0,123000.0,90091.0,91230.0,213000.0,197100.0,149000.0,140000.0,162398.0,85426.0,20518.0,66003.0,191470.0,58624.0,97200.0,6440.0,96800.0,59000.0,16900.0,13734.0,71436.0
