年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,71200.0,189440.0,37258.0,125817.0,86737.0,92703.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1991,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,84400.0,189440.0,42203.0,125817.0,86737.0,98755.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1992,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,93700.0,189440.0,48347.0,125817.0,86737.0,110310.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1993,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,121800.0,189440.0,49795.0,125817.0,86737.0,129131.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1994,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,162200.0,189440.0,68696.0,125817.0,86737.0,150028.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1995,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,189800.0,189440.0,80506.0,125817.0,86737.0,173966.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1996,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,232500.0,189440.0,87955.0,125817.0,86737.0,209728.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1997,19900000.0,172012.0,77382.0,158773.0,88454.0,74629.0,150047.0,89896.0,111786.0,229472.0,268800.0,189440.0,101035.0,125817.0,86737.0,240126.0,139241.0,153482.0,112000.0,369985.0,92010.0,24957.0,62508.0,169737.0,76657.0,180824.0,21786.0,76963.0,59635.0,23819.0,17099.0,83755.0
1998,19900000.0,203863.0,79824.0,154865.0,91866.0,77091.0,153708.0,83946.0,118832.0,256268.0,286300.0,212943.0,104229.0,138236.0,91530.0,252965.0,144678.0,158577.0,108167.0,392872.0,100306.0,25579.0,69509.0,184660.0,84862.0,181365.0,24374.0,83964.0,64049.0,24705.0,19234.0,88903.0
1999,19900000.0,227743.0,82186.0,167411.0,99248.0,83322.0,151578.0,90967.0,133317.0,296128.0,310600.0,237895.0,114139.0,145686.0,96567.0,258572.0,155451.0,177268.0,116916.0,409655.0,106824.0,26460.0,71849.0,201083.0,95221.0,202653.0,29056.0,86143.0,69902.0,24806.0,19922.0,96368.0
2000,19900000.0,285305.0,86869.0,174629.0,104507.0,91072.0,171323.0,93788.0,136114.0,325811.0,325700.0,272422.0,117124.0,161411.0,103154.0,282598.0,172990.0,190881.0,118790.0,477313.0,116401.0,28021.0,80400.0,218952.0,110566.0,223789.0,32365.0,82890.0,80568.0,28220.0,23519.0,106485.0
2001,19900000.0,330792.0,100050.0,216635.0,134067.0,112207.0,175897.0,110660.0,162448.0,345677.0,374000.0,327563.0,127771.0,169701.0,117642.0,306587.0,194296.0,215028.0,135138.0,539932.0,156254.0,29414.0,87254.0,248216.0,135517.0,251325.0,39037.0,114542.0,98829.0,41538.0,39445.0,137993.0
2002,19900000.0,379281.0,117052.0,246358.0,150782.0,124154.0,197170.0,127429.0,173502.0,304531.0,418900.0,372296.0,143009.0,184033.0,128113.0,335712.0,219236.0,223590.0,147068.0,644192.0,178617.0,33925.0,94431.0,254283.0,154055.0,287744.0,48622.0,144760.0,106019.0,44221.0,37244.0,157256.0
2003,19900000.0,496358.0,153135.0,348275.0,203272.0,170878.0,251624.0,161382.0,230611.0,364420.0,555700.0,453797.0,170815.0,207346.0,150613.0,396107.0,301893.0,242474.0,168303.0,735442.0,210155.0,46470.0,108218.0,314235.0,172994.0,327510.0,52805.0,167206.0,118002.0,52972.0,44812.0,182208.0
2004,19900000.0,540662.0,183378.0,351422.0,223898.0,174747.0,254934.0,170197.0,235805.0,450150.0,623900.0,527709.0,221171.0,233252.0,175879.0,452199.0,337404.0,263743.0,197383.0,729099.0,220169.0,54270.0,120564.0,342542.0,195474.0,361946.0,63727.0,180908.0,134101.0,63398.0,43539.0,194919.0
2005,19900000.0,656229.0,189803.0,450870.0,281735.0,208768.0,343526.0,207022.0,280124.0,521464.0,750600.0,648767.0,250223.0,259305.0,218381.0,544085.0,418057.0,311597.0,244520.0,823633.0,259931.0,65191.0,151757.0,495641.0,258160.0,448073.0,71090.0,217038.0,178431.0,88611.0,54008.0,258917.0
2006,19900000.0,870575.0,237784.0,502031.0,354622.0,282462.0,437296.0,269189.0,363780.0,614972.0,895200.0,835322.0,347649.0,340692.0,288172.0,733206.0,614162.0,449741.0,346152.0,1035579.0,334041.0,76109.0,197870.0,574949.0,300375.0,571204.0,80941.0,288357.0,232159.0,121230.0,70085.0,299458.0
2007,19900000.0,1189527.0,330964.0,781096.0,520956.0,438658.0,666000.0,423106.0,575415.0,888313.0,1152882.0,1122822.0,654132.0,519887.0,580717.0,996496.0,987788.0,661139.0,591970.0,1407693.0,507547.0,124560.0,339705.0,988711.0,487900.0,771123.0,171623.0,499056.0,410319.0,195046.0,114174.0,458154.0
2008,27570000.0,1456000.0,419156.0,1202379.0,717000.0,598205.0,839012.0,595176.0,717000.0,1223000.0,1486116.0,1429000.0,1038442.0,742741.0,796197.0,1404184.0,1454726.0,950838.0,875987.0,2011467.0,787683.0,186377.0,516362.0,1435606.0,674400.0,1045872.0,163548.0,786000.0,583150.0,247000.0,171073.0,586403.0
