年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990,974541.0,34565.0,21228.0,50000.0,27956.0,27000.0,75000.0,42000.0,55410.0,36000.0,53400.0,38000.0,36308.0,28000.0,1774.0,90000.0,46391.0,56600.0,55000.0,64504.0,35636.0,9000.0,16929.0,59000.0,21469.0,35000.0,2000.0,27200.0,19355.0,7000.0,7000.0,23386
1991,1011943.0,35714.0,22086.0,50000.0,29684.0,27000.0,75000.0,42000.0,57200.0,36000.0,56100.0,38000.0,36308.0,28000.0,1664.6,90000.0,48488.6,59700.0,55000.0,64504.0,35636.0,9000.0,17163.0,59000.0,21469.0,35000.0,2000.0,28100.0,19355.0,7000.0,7000.0,24126
1992,1039674.0,36768.0,22804.0,50000.0,29653.0,27000.0,75000.0,42000.0,58000.0,36000.0,57600.0,38000.0,36308.0,28000.0,1555.2,90000.0,50586.2,62500.0,55000.0,64504.0,35636.0,9000.0,17557.0,59000.0,21469.0,35000.0,2000.0,28700.0,19355.0,7000.0,7000.0,24612
1993,1056096.0,36687.0,22884.0,50000.0,31215.0,27000.0,75000.0,42000.0,57600.0,36000.0,59900.0,38000.0,36308.0,28000.0,1445.8,90000.0,52683.8,64900.0,55000.0,64504.0,35636.0,9000.0,17714.0,59000.0,21469.0,35000.0,2000.0,29100.0,19355.0,7000.0,7000.0,25128
1994,1093544.0,36608.0,22936.0,50000.0,32524.0,27000.0,75000.0,42000.0,57800.0,36000.0,62800.0,38000.0,36308.0,28000.0,1336.4,90000.0,54781.4,66400.0,55000.0,64504.0,35636.0,9000.0,18298.0,59000.0,21469.0,35000.0,2000.0,30300.0,19355.0,7000.0,7000.0,25722
1995,1125661.0,36719.0,23177.0,50000.0,34907.0,27000.0,75000.0,42000.0,56900.0,36000.0,64400.0,38000.0,36308.0,28000.0,1227.0,90000.0,56879.0,68300.0,55000.0,64504.0,35636.0,9000.0,18692.0,59000.0,21469.0,35000.0,2000.0,31000.0,19355.0,7000.0,7000.0,26350
1996,1162609.0,37712.0,23156.0,50000.0,34191.0,27000.0,75000.0,42000.0,56800.0,36000.0,66900.0,38000.0,37231.0,28000.0,9920.25,90000.0,58159.25,70000.0,55000.0,68378.0,36727.0,9000.0,19289.0,59000.0,21469.0,35000.0,2000.0,31000.0,20421.0,7000.0,7000.0,27630
1997,1198228.0,38630.0,23045.0,50000.0,35272.0,27000.0,75000.0,42000.0,57100.0,36000.0,69500.0,38000.0,38154.0,28000.0,18613.5,90000.0,59439.5,72100.0,55000.0,72252.0,37818.0,9000.0,19593.0,59000.0,21469.0,35000.0,2000.0,32500.0,20983.0,7000.0,7000.0,29359
1998,1218836.0,38883.0,22209.0,50000.0,35644.0,27000.0,75000.0,42000.0,56106.0,36000.0,71300.0,38000.0,39077.0,28000.0,27306.75,90000.0,60719.75,72900.0,55000.0,76126.0,38909.0,9000.0,19804.0,59000.0,21469.0,35000.0,2000.0,33700.0,21129.0,7000.0,7000.0,29990
1999,1244844.0,39625.0,21977.0,50000.0,36463.0,27000.0,75000.0,42000.0,56300.0,36000.0,72600.0,38000.0,40000.0,28000.0,36000.0,90000.0,62000.0,74100.0,55000.0,80000.0,40000.0,9000.0,20263.0,59000.0,21469.0,35000.0,2000.0,34800.0,21499.0,7000.0,7000.0,30116
2000,1266838.0,39900.0,21667.0,51500.0,37057.0,27000.0,74900.0,41000.0,54400.0,36800.0,73900.0,40100.0,41226.0,31430.0,1764.0,92200.0,63032.0,75300.0,57400.0,83198.0,40331.0,9600.0,20773.0,59700.0,21755.0,36100.0,1800.0,35600.0,21606.0,6400.0,6700.0,30850
2001,1286938.0,40537.0,21298.0,52000.0,37906.0,28000.0,75200.0,42000.0,53700.0,37000.0,75400.0,43100.0,42315.0,29600.0,1833.0,94700.0,65000.0,75100.0,57700.0,85300.0,41300.0,9600.0,20533.0,59800.0,21485.0,36400.0,1800.0,36200.0,22376.0,6300.0,6900.0,30982
2002,1246545.0,38879.0,19257.0,49900.0,35456.0,25700.0,70800.0,39400.0,45810.0,37100.0,72500.0,47075.0,40014.0,30520.0,34892.0,91647.0,69037.0,63500.0,54500.0,85400.0,41121.0,9800.0,20729.0,60098.0,21562.0,34800.0,1600.0,36500.0,20232.0,5700.0,6390.0,28116
2003,1265959.0,39912.0,19173.0,50992.0,39297.0,25566.0,71890.0,40076.0,45000.0,37894.0,73700.0,49298.0,42557.0,31545.0,34654.0,90824.0,72001.0,63800.0,58235.0,88536.0,40713.0,9875.0,20629.0,59494.0,21844.0,35647.0,1756.0,37200.0,22460.0,5940.0,7274.0,30282
2004,1308433.0,41557.0,19602.0,53573.0,37062.0,26517.0,72751.0,39546.0,44800.0,38112.0,77000.0,54874.0,45048.0,32687.0,35429.0,96448.0,74739.0,66200.0,57820.0,92287.0,43296.0,10511.0,20249.0,60871.0,21602.0,36540.0,1849.0,37500.0,20054.0,6200.0,7100.0,30908
2005,1349589.0,42897.0,19624.0,54456.0,38117.0,27052.0,72912.0,38917.0,45015.0,39379.0,80500.0,60259.0,47329.0,34195.0,35679.0,98383.0,77132.0,69400.0,59640.0,98681.0,44604.0,10860.0,20842.0,61237.0,23538.0,38001.0,1896.0,38500.0,22403.0,6418.0,7376.0,30657
2006,1426339.0,45647.0,20030.0,57952.0,40943.0,27601.0,76796.0,40267.0,45542.0,42216.0,85900.0,66615.0,50392.0,35910.0,37870.0,103843.0,82850.0,70600.0,58187.0,114445.0,46756.0,11508.0,21269.0,63730.0,23641.0,39837.0,2000.0,40700.0,20425.0,6739.0,7652.0,32119
2007,1558822.0,50955.0,21339.0,65714.0,45523.0,29732.0,78172.0,40615.0,48629.0,46771.0,94500.0,72008.0,55315.0,38845.0,42508.0,111401.0,90187.0,76900.0,66543.0,128043.0,51704.0,12444.0,23972.0,73485.0,26519.0,41040.0,1798.0,42500.0,23999.0,6841.0,8579.0,34662
2008,1678091.0,55411.0,21967.0,69038.0,49256.0,31459.0,80474.0,41066.0,51400.0,48758.0,100900.0,78284.0,60860.0,42465.0,48241.0,122866.0,96571.0,80600.0,72551.0,135922.0,56011.0,13212.0,26799.0,78062.0,28642.0,42011.0,1920.0,46900.0,24950.0,7346.0,9041.0,36084
2009,1854818.0,61709.0,23081.0,74699.0,56577.0,35414.0,84498.0,42406.0,55853.0,52271.0,110600.0,88144.0,69959.0,47860.0,53653.0,139610.0,112181.0,87300.0,83159.0,153391.0,62798.0,15225.0,31756.0,91164.0,31984.0,46329.0,2007.0,54400.0,26422.0,7833.0,9856.0,40425
2010,2048071.0,67308.0,24193.0,87351.0,62251.0,38251.0,88882.0,45776.0,62759.0,55866.0,122600.0,99615.0,77317.0,53820.0,57703.0,156692.0,121384.0,93800.0,92346.0,168043.0,69906.0,16319.0,37611.0,104930.0,36000.0,49408.0,1988.0,61300.0,29646.0,8339.0,10341.0,44238
2011,2244020.0,72812.0,25815.0,93520.0,64793.0,42494.0,91912.0,47938.0,66144.0,58885.0,135600.0,109275.0,84454.0,62464.0,64440.0,170968.0,137124.0,102100.0,101867.0,182660.0,76506.0,18200.0,42767.0,121319.0,41600.0,52315.0,2140.0,70200.0,33713.0,9660.0,11625.0,48760
2012,2496599.0,95202.0,27637.0,101988.0,70337.0,46774.0,98036.0,50975.0,70073.0,63245.0,155300.0,121313.0,95046.0,71124.0,72055.0,191721.0,156041.0,115700.0,112906.0,199534.0,85515.0,19432.0,49823.0,139811.0,48646.0,60755.0,1732.0,79400.0,37212.0,10026.0,12504.0,52449
2013,2783121.0,100652.0,29715.0,111526.0,74849.0,52400.0,103433.0,52700.0,73682.0,67939.0,174200.0,132705.0,103000.0,78548.0,78229.0,241000.0,176534.0,127900.0,126000.0,215326.0,93887.0,20920.0,55417.0,157459.0,59400.0,73305.0,2397.0,89600.0,40668.0,11400.0,13978.0,56578
2014,3004144.0,106167.0,31577.0,121845.0,79055.0,56723.0,105828.0,57433.0,77720.0,71929.0,188800.0,145141.0,111497.0,85664.0,84140.0,245711.0,191117.0,144000.0,136247.0,233483.0,103955.0,22394.0,62662.0,175522.0,67204.0,82823.0,2715.0,97200.0,45196.0,12750.0,15096.0,59792
2015,3241469.0,114294.0,33804.0,132837.0,83344.0,61223.0,110976.0,60719.0,81196.0,75436.0,204000.0,159945.0,119303.0,90503.0,89584.0,254170.0,205366.0,165100.0,149345.0,254430.0,113202.0,24641.0,69996.0,190643.0,76100.0,93278.0,3190.0,104300.0,47832.0,13194.0,16135.0,63870
2016,3507166.0,117760.0,36088.0,143432.0,92139.0,66445.0,119147.0,65749.0,85410.0,79373.0,221200.0,174486.0,126350.0,96250.0,95531.0,268379.0,222121.0,175200.0,161531.0,283793.0,122595.0,26487.0,77463.0,207691.0,86000.0,105966.0,3833.0,116900.0,50653.0,14364.0,18069.0,67568
2017,3804021.0,123158.0,38205.0,158383.0,96317.0,71866.0,127445.0,67142.0,90446.0,84037.0,237200.0,188163.0,138139.0,101285.0,104128.0,293647.0,241605.0,184300.0,172580.0,307664.0,131711.0,28491.0,84768.0,228608.0,98000.0,128513.0,4460.0,127000.0,58682.0,16475.0,21568.0,71010
2018,4098630.0,123589.0,39377.0,172863.0,103335.0,76435.0,134492.0,76140.0,93081.0,93478.0,260400.0,201514.0,149723.0,109327.0,110828.0,322750.0,263100.0,190800.0,184384.0,335037.0,140412.0,29964.0,95104.0,247322.0,109100.0,136886.0,5573.0,138000.0,63807.0,17577.0,23277.0,72347
2019,4445047.0,131314.0,41410.0,185025.0,108345.0,80434.0,139098.0,79315.0,97616.0,97072.0,279800.0,219811.0,163390.0,116284.0,120412.0,341379.0,278898.0,195900.0,240515.0,356784.0,152390.0,32064.0,103167.0,270616.0,121400.0,158461.0,5986.0,150400.0,79531.0,18910.0,24307.0,77306
2020,4708717.0,134656.0,42714.0,201377.0,115851.0,83443.0,142745.0,95392.0,102318.0,103050.0,294200.0,233067.0,188182.0,122476.0,129283.0,355651.0,304335.0,200000.0,235149.0,374807.0,167487.0,35191.0,109428.0,286010.0,132000.0,173175.0,6843.0,155500.0,85264.0,19678.0,25972.0,80681
2021,5019422.0,124086.0,46810.0,225019.0,124305.0,88938.0,152697.0,97803.0,107095.0,103859.0,308650.0,250311.0,200950.0,130171.0,139922.0,376498.0,328077.0,214600.0,239222.0,401698.0,182407.0,38414.0,114011.0,306685.0,141700.0,182586.0,7795.0,159406.0,91701.0,21349.0,27255.0,85369
2022,5224244.0,126111.0,48254.0,238241.0,125698.0,91540.0,157806.0,98639.0,110654.0,106373.0,318294.0,267048.0,221426.0,136667.0,144440.0,387142.0,353912.0,217600.0,244215.0,420790.0,192854.0,39343.0,117308.0,318267.0,147126.0,189852.0,8137.0,163112.0,94689.0,21547.0,28111.0,88977
2023,5630000.0,153000.0,52100.0,269700.0,125698.0,101000.0,168000.0,107100.0,118000.0,106373.0,333000.0,292000.0,244000.0,145000.0,168000.0,387142.0,383900.0,229100.0,270000.0,451000.0,200900.0,39343.0,128100.0,335000.0,163700.0,189852.0,8137.0,169600.0,100400.0,23700.0,30046.0,87660
