年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990,1012690.0,4953,3392.0,10586,6108.0,5161.0,7863.0,4407.0,8945.0,7690.0,12366.0,8917.0,7336,4885.0,5632,11040.0,8676,10472.0,10552.0,8989.0,5791,3167.0,4777.0,15056,6949,6671,1110.0,6416.0,4132,1218,1163,3945
1991,1003769.0,4970,3397.0,10647,6121.0,5172.0,7736.0,4369.0,8878.0,7554.0,12377.0,8983.0,7359,4867.0,5632,11141.0,8639,10509.0,10557.0,9032.0,5865,3154.0,4777.0,15077,6908,6708,1197.0,6433.0,4178,1184,1129,3937
1992,1001310.0,4868,3287.0,10715,5935.0,5253.0,7921.0,4189.0,8853.0,7363.0,12277.0,8861.0,7035,4914.0,5620,10865.0,8375,10590.0,10579.0,8989.0,5839,2517.0,4777.0,15005,4734,6765,1223.0,6404.0,4192,1187,1120,3985
1993,1000531.0,4962,3182.0,10958,6085.0,4932.0,7132.0,4006.0,7702.0,6077.0,12074.0,8769.0,6637,4522.0,5389,10881.0,7669,10268.0,9604.0,8572.0,5549,1646.0,4777.0,14255,3908,6469,1068.0,6215.0,4141,1172,1037,3894
1994,1005271.0,4958,3182.0,10274,5996.0,4918.0,6849.0,3920.0,7714.0,5606.0,12067.0,8718.0,6585,4537.0,5432,10654.0,7656,9762.0,9931.0,8720.0,5564,1647.0,4777.0,14217,3930,6474,1152.0,6227.0,4134,1177,1037,3907
1995,994409.0,4955,3182.0,10266,5922.0,4915.0,6239.0,3891.0,7637.0,5286.0,12039.0,8723.0,6593,4537.0,5423,10463.0,7661,9744.0,9137.0,8848.0,5571,1653.0,4777.0,14094,3934,6400,1198.0,6215.0,4131,1176,1028,3932
1996,1078131.0,6470,4171.0,5402,3289.0,5037.0,6333.0,3720.0,7065.0,5200.0,14944.0,8970.0,6261,4543.0,7966,11968.0,7253,9167.0,9031.0,8921.0,5470,2420.0,4777.0,13965,10932,11122,1300.0,6033.0,9109,1201,476,7259
1997,1048657.0,6577,3571.0,5392,3286.0,4863.0,6749.0,3663.0,7676.0,5028.0,13386.0,8415.0,7911,10059.0,8056,10993.0,7194,11562.0,9177.0,8942.0,13851,2595.0,4743.0,31878,8955,11454,1324.0,5947.0,8962,1201,482,6614
1998,1042885.0,5722,3190.0,20071,8592.0,7517.0,11710.0,6321.0,7620.0,5467.0,13364.0,17457.0,7699,10159.0,7972,14642.0,11774,11584.0,17737.0,8805.0,13888,2598.0,3171.0,31917,9113,11867,1307.0,10440.0,8977,1903,485,6615
1999,1017673.0,5990,2969.0,20023,8591.0,7535.0,11994.0,6674.0,7573.0,5362.0,13699.0,16712.0,6778,10154.0,7953,14611.0,11643,11311.0,17813.0,8699.0,13319,2460.0,3080.0,32633,9703,11875,1254.0,10563.0,8976,2406,484,6608
2000,1034229.0,6176,2983.0,20663,13736.0,7852.0,12564.0,5544.0,8038.0,5136.0,12813.0,17034.0,6705,9807.0,8048,17118.0,10764,11065.0,24678.0,8984.0,13707,2689.0,2973.0,33351,8992,13356,1237.0,10737.0,7191,1847,1361,6705
2001,1029314.0,5969,2803.0,20116,16293.0,8559.0,13237.0,7417.0,7944.0,4536.0,13208.0,16536.0,7038,9765.0,7594,17348.0,10719,10941.0,28421.0,8638.0,13363,2685.0,2694.0,33412,8791,12552,1284.0,11365.0,7225,1437,487,5279
2002,1005004.0,4998,2641.0,18701,9603.0,6574.0,13162.0,7556.0,8755.0,2308.0,12367.0,10708.0,8827,16941.0,11286,16571.0,13291,10192.0,15149.0,15500.0,10107,2840.0,1954.0,28204,7022,8798,1346.0,12462.0,11062,1450,1370,10296
2003,806243.0,5073,7132.0,9018,12960.0,4036.0,12533.0,7695.0,8469.0,7500.0,8870.0,6261.0,15688,8525.0,11401,4855.0,13621,9498.0,14539.0,15409.0,6610,19470.0,1928.0,16756,13178,3006,1305.0,14369.0,8037,9559,8990,9618
2004,849140.0,4835,2560.0,17760,9510.0,7416.0,14230.0,8219.0,8230.0,2551.0,13400.0,11937.0,8973,8672.0,12080,16526.0,13821,9909.0,14885.0,15744.0,9034,2515.0,1805.0,24605,6664,9436,1326.0,11703.0,11404,1439,1483,9086
2005,882206.0,7536,2472.0,18046,9430.0,7629.0,14925.0,8755.0,8326.0,2526.0,15324.0,12555.0,32044,7932.0,10664,16323.0,14554,9459.0,15008.0,40175.0,9416,2464.0,1688.0,23832,6571,10110,1378.0,11701.0,11849,1478,1463,8087
2006,918097.0,4877,2367.0,17733,9776.0,7958.0,15876.0,9696.0,8181.0,2519.0,17143.0,14230.0,31660,9652.0,10210,17016.0,14629,10052.0,15331.0,16953.0,9977,2337.0,1678.0,24015,6147,10020,1349.0,11631.0,12022,1643,1553,8175
2007,912263.0,6210,2334.0,19425,9780.0,9076.0,14819.0,9683.0,8464.0,2678.0,19116.0,15669.0,29144,4556.0,9456,15270.0,11888,11093.0,14521.0,16490.0,10060,2330.0,6292.0,21380,5956,9693,1339.0,9708.0,12024,1619,1530,7465
2008,891480.0,6497,2784.0,15632,9431.0,7162.0,14627.0,9659.0,7928.0,2822.0,13357.0,15290.0,27130,4478.0,8229,14973.0,11683,10305.0,14455.0,15821.0,10427,2220.0,15972.0,20738,5848,9249,1326.0,8812.0,10534,1582,1633,6739
2009,916571.0,9734,4238.0,80963,39917.0,22677.0,34729.0,18543.0,21825.0,4460.0,30571.0,29549.0,24736,26613.0,7102,63885.0,75722,32790.0,55200.0,16238.0,32355,4661.0,16477.0,72914,24707,22365,1329.0,33928.0,25299,5959,1601,14244
2010,936927.0,9511,4542.0,81403,41098.0,22565.0,34805.0,19385.0,22073.0,4708.0,30961.0,29939.0,23019,6999.0,7172,66967.0,75741,34269.0,59359.0,44880.0,32741,4678.0,17491.0,74283,25420,22888,1352.0,35696.0,26673,1473,1583,16000
2011,954389.0,9495,4428.0,80185,40339.0,22908.0,35229.0,19785.0,21749.0,4740.0,31680.0,30515.0,22884,27147.0,7121,68275.0,76128,35625.0,59634.0,45935.0,34026,4816.0,17660.0,75815,25943,23248,1380.0,36396.0,10000,5887,4143,17412
2012,950297.0,9974,4551.0,79119,40192.0,23046.0,35792.0,19734.0,21158.0,4845.0,31050.0,30271.0,23278,27276.0,7137,68840.0,69258,35240.0,58612.0,46556.0,34152,5154.0,17961.0,76555,27404,23395,1403.0,36271.0,26258,5948,4136,18320
2013,974398.0,10141,4689.0,78485,40281.0,23257.0,35612.0,19913.0,21369.0,4929.0,30998.0,30063.0,24645,28175.0,7250,75426.0,71464,35631.0,62210.0,47855.0,33943,5011.0,18923.0,80039,29177,24264,1413.0,37137.0,26697,6020,4230,18663
2014,981432.0,10265,4990.0,78895,40777.0,23426.0,35441.0,19891.0,21229.0,4984.0,31995.0,30358.0,24824,28030.0,38873,77012.0,71154,36077.0,61571.0,48087.0,34667,5075.0,18766.0,81081,28995,24281,1451.0,37247.0,27916,6241,4252,18873
2015,983528.0,10425,5223.0,78594,41002.0,23886.0,35236.0,20612.0,20752.0,5016.0,31925.0,31137.0,24853,27921.0,38557,77259.0,71394,36179.0,62646.0,48367.0,34439,5046.0,19805.0,80114,28712,24181,1463.0,37030.0,28000,1772,4289,18798
2016,983394.0,10637,5443.0,78795,42204.0,24002.0,36131.0,20829.0,20375.0,5016.0,32117.0,31546.0,24388,27656.0,38266,76997.0,71271,36354.0,61055.0,49124.0,34253,5144.0,19933.0,79516,28017,24234,1476.0,36598.0,28000,1766,4256,18825
2017,986649.0,10986,5539.0,80912,42490.0,24218.0,35767.0,20828.0,20283.0,5144.0,32037.0,31979.0,24484,27217.0,37791,79050.0,71089,36357.0,58624.0,49926.0,34008,5180.0,19615.0,80480,28034,24684,1507.0,35861.0,28877,1857,4272,18724
2018,997433.0,11100,5686.0,85088,42079.0,24610.0,36029.0,22691.0,20349.0,5293.0,33254.0,32754.0,24926,27590.0,36546,81470.0,71351,36486.0,56239.0,51527.0,33742,5325.0,20524.0,81539,28066,24954,6844.0,35300.0,27897,1922,4451,18450
2019,1007579.0,11340,5962.0,84651,42162.0,24564.0,34238.0,22198.0,20375.0,5597.0,34796.0,34119.0,26436,27788.0,37029,83616.0,70734,35515.0,57230.0,53928.0,33679,5417.0,21058.0,83757,28511,25587,6940.0,35404.0,26697,6517,4395,18376
2020,1023000.0,10599,5838.0,86939,41140.0,24549.0,34131.0,25616.0,20461.0,5897.0,35746.0,34400.0,29391,28152.0,36716,84872.0,74644,35447.0,56042.0,55900.0,33875,6127.0,20922.0,82793,28880,26626,6939.0,34983.0,26204,6403,4574,18158
2021,1031000.0,10699,6076.0,88162,41007.0,24948.0,33051.0,25344.0,20578.0,6308.0,36448.0,35120.0,29554,28693.0,36764,85715.0,78536,36529.0,55677.0,57955.0,34112,6277.0,21361.0,80249,29292,26885,6907.0,34971.0,25759,6404,4571,16970
2022,1033000.0,12211,6076.0,90206,39503.5,25316.5,33051.0,25344.0,21001.5,6308.0,37001.0,35120.0,30176,29117.0,35683,86000.0,81273,36781.0,55677.0,59531.0,34502,6277.0,22243.0,74041,29150,27527,6907.0,34971.0,25267,6375,4607,15040
2023,1071000.0,12518,6076.0,92825,38000.0,25685.0,33051.0,25344.0,21425.0,6308.0,37001.0,35120.0,31361,30000.0,40120,88000.0,85038,38489.0,55677.0,62900.0,34904,6277.0,23389.0,75109,30722,28765,6907.0,34971.0,25345,6949,4863,16427
