年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990,3897921.0,112000.0,67485.0,181000.0,128465.0,96764.0,223000.0,120000.0,172821.0,118400.0,138700.0,30990.0,136000.0,87000.0,116786.0,241000.0,222800.0,209200.0,176300.0,194771.0,108000.0,29225.0,82690.0,310700.0,9918.0,102000.0,7498,118200.0,71100.0,19893.0,19175,79853
1991,3984974.0,114342.0,68887.0,183500.0,132792.0,97984.0,228700.0,124300.0,178220.0,119200.0,222200.0,135034.0,137900.0,88607.0,117903.0,241000.0,230300.0,215500.0,178100.0,199051.0,110600.0,29743.0,83973.0,231200.0,87774.0,104200.0,7749,119900.0,73600.0,20100.0,20100,82528
1992,4073986.0,115825.0,69815.0,189500.0,131193.0,100365.0,233200.0,127700.0,182368.0,118200.0,228900.0,138230.0,142349.0,91000.0,118708.0,247000.0,239100.0,221500.0,182900.0,205110.0,113000.0,30387.0,85204.0,234300.0,87927.0,106000.0,8030,123300.0,76300.0,20239.0,16436,86310
1993,4117067.0,116173.0,70920.0,198000.0,137143.0,99878.0,233000.0,129100.0,179536.0,115300.0,234400.0,140006.0,145000.0,90424.0,118318.0,258000.0,243900.0,224600.0,183800.0,211874.0,111000.0,31000.0,84125.0,235200.0,84409.0,108000.0,7540,122800.0,78000.0,19891.0,21148,88000
1994,4199217.0,116818.0,71217.0,198200.0,139909.0,102220.0,232814.0,132300.0,179362.0,112000.0,240500.0,145034.0,147819.0,91209.0,120503.0,264000.0,251300.0,228400.0,189800.0,220153.0,113400.0,31109.0,85586.0,239700.0,88053.0,110900.0,8176,126000.0,81300.0,20116.0,21300,90439
1995,4256923.0,116000.0,71806.0,202000.0,142239.0,102187.0,235000.0,134200.0,178842.0,110600.0,154800.0,34245.0,151000.0,93000.0,122649.0,271000.0,255000.0,232000.0,192500.0,229894.0,116547.0,31318.0,86041.0,243137.0,87005.0,112530.0,7353,128000.0,83000.0,20233.0,21223,92028
1996,4311845.0,116849.0,71014.0,181755.0,130632.0,103606.0,233300.0,134200.0,177663.0,109500.0,250200.0,150000.0,152500.0,94000.0,118700.0,287000.0,257700.0,234700.0,202200.0,237623.0,120000.0,32000.0,87542.0,246192.0,84273.0,112000.0,8006,128200.0,80426.0,20216.0,22000,94542
1997,4397805.0,119256.0,70431.0,187320.0,133260.0,102983.0,236000.0,135100.0,178483.0,108900.0,254800.0,153315.0,152205.0,95000.0,120072.0,294000.0,262000.0,239000.0,205600.0,245862.0,123000.0,33000.0,88423.0,251000.0,84348.0,118227.0,7999,129900.0,82000.0,21418.0,19100,98000
1998,4423721.0,115976.0,68070.0,192082.0,134240.0,104890.0,231200.0,135600.0,174980.0,108400.0,256700.0,156000.0,154000.0,97400.0,121119.0,301000.0,263200.0,239600.0,212500.0,252213.0,125000.0,32155.0,83696.0,251200.0,84400.0,119200.0,8785,130300.0,82000.0,21159.0,17791,98000
1999,4458669.0,116597.0,65901.0,196800.0,134590.0,101312.0,229476.0,137100.0,176100.0,108100.0,256000.0,155319.0,153000.0,98000.0,122321.0,308000.0,266600.0,240500.0,195000.0,258591.0,125310.0,31000.0,88569.0,254315.0,85613.0,121040.0,8892,132800.0,83000.0,21825.0,18139,98000
2000,4490803.0,116000.0,65145.0,201200.0,136224.0,100688.0,228000.0,132000.0,171252.0,107100.0,230400.0,35487.0,154000.0,97569.0,123192.0,315000.0,268400.0,238800.0,198800.0,265000.0,127036.0,30561.0,88619.0,253331.0,85397.0,124055.0,8948,133400.0,69318.0,21500.0,19171,98093
2001,4507700.0,115935.0,63475.0,203630.0,86843.0,109147.0,227000.0,133700.0,169865.0,105100.0,231900.0,163336.0,155457.0,99440.0,122858.0,318000.0,271800.0,234100.0,198900.0,268347.0,128000.0,30330.0,86430.0,249392.0,86103.0,123021.0,8820,135300.0,70283.0,20119.0,19790,97500
2002,4269779.0,109564.0,56705.0,216700.0,89348.0,100665.0,207300.0,116300.0,154660.0,101600.0,229600.0,164000.0,146148.0,95100.0,114518.0,322000.0,264800.0,205900.0,190000.0,262633.0,122005.0,29200.0,79850.0,248470.0,79727.0,109800.0,7913,135300.0,66799.0,19294.0,19792,90100
2003,4380878.0,112212.0,55629.0,216962.0,90826.0,101073.0,210705.0,128600.0,149964.0,102200.0,220700.0,173010.0,154000.0,96902.0,117755.0,311000.0,278700.0,208300.0,189500.0,273620.0,117633.0,29083.0,78628.0,245326.0,77557.0,112396.0,8287,134700.0,67243.0,23036.0,23126,95800
2004,4485983.0,116610.0,60722.0,223745.0,97924.0,101730.0,212644.0,128700.0,149274.0,101700.0,208600.0,185376.0,158000.0,100502.0,117970.0,323000.0,284200.0,213800.0,188900.0,283351.0,125503.0,29859.0,77516.0,242255.0,76699.0,113871.0,8569,134600.0,66503.0,20002.0,22897,99800
2005,4564050.0,120000.0,61284.0,229696.0,130955.0,102587.0,209346.0,125700.0,151000.0,103500.0,234500.0,42353.0,159800.0,100937.0,115986.0,325000.0,289200.0,215000.0,189400.0,297334.0,129210.0,30056.0,78780.0,244367.0,77805.0,118429.0,8914,136600.0,66926.0,20800.0,22817,96266
2006,4728350.0,126904.0,62258.0,234133.0,112702.0,102336.0,216457.0,128500.0,151916.0,109000.0,213500.0,214622.0,169181.0,106586.0,119761.0,337000.0,300700.0,218000.0,190000.0,332829.0,136200.0,30787.0,79805.0,255140.0,82324.0,121424.0,8895,139100.0,68507.0,20119.0,23591,99839
2007,4913186.0,139275.0,63900.0,243209.0,113775.0,105790.0,215491.0,125800.0,158726.0,122400.0,218600.0,230452.0,176000.0,111192.0,126598.0,346000.0,297900.0,227000.0,220600.0,360674.0,145600.0,32545.0,83736.0,264206.0,85298.0,123732.0,8535,141700.0,85348.0,20347.0,25521,104671
2008,5174478.0,149916.0,65115.0,247451.0,116453.0,110042.0,217904.0,127900.0,161927.0,127700.0,220400.0,242912.0,188000.0,119250.0,139764.0,376000.0,309900.0,233800.0,232100.0,383876.0,155700.0,33875.0,88746.0,277112.0,89313.0,126237.0,9435,148200.0,87436.0,21973.0,26627,106853
2009,5535124.0,160435.0,67560.0,268049.0,119458.0,117197.0,226425.0,131000.0,172118.0,130900.0,218800.0,260028.0,202382.0,127446.0,146990.0,406000.0,346400.0,247000.0,248100.0,413444.0,169477.0,37857.0,97199.0,303050.0,95270.0,135207.0,10047,162900.0,89963.0,23440.0,28428,114521
