年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990,1763086.0,51000.0,32034.0,87300.0,60185.0,41500.0,86200.0,50300.0,72000.0,58200.0,99400.0,14483.0,58600.0,35700.0,52000.0,107000.0,99400.0,86800.0,82600.0,81100.0,51200.0,11000.0,28824.0,115200.0,37185.0,53900.0,4500,59100.0,33000.0,9200.0,11700,33700.0
1991,1779545.0,52309.0,32385.0,86800.0,61241.0,42500.0,88500.0,51300.0,73000.0,58900.0,102000.0,60300.0,59600.0,36400.0,51900.0,105000.0,99300.0,51100.0,81700.0,82900.0,51300.0,11000.0,28652.0,115200.0,37978.0,53200.0,4600,58700.0,33800.0,9200.0,12400,34800.0
1992,1808194.0,53254.0,32320.0,89700.0,60691.0,46600.0,91300.0,51500.0,74000.0,58800.0,104300.0,61000.0,60000.0,37600.0,52300.0,106000.0,101400.0,51800.0,82300.0,86400.0,50100.0,11100.0,28643.0,115900.0,38537.0,53400.0,4600,59700.0,35000.0,9400.0,13000,35800.0
1993,1831665.0,53906.0,33026.0,93100.0,64285.0,47200.0,92600.0,52600.0,74000.0,57500.0,106300.0,61500.0,62400.0,38300.0,52600.0,111000.0,101600.0,54800.0,81300.0,90100.0,51600.0,10900.0,29516.0,115400.0,38060.0,55500.0,4500,58900.0,35800.0,9300.0,13200,36900.0
1994,1882180.0,53865.0,33373.0,91900.0,67510.0,49000.0,94900.0,53900.0,74000.0,55200.0,109400.0,63700.0,64600.0,38000.0,54200.0,115000.0,105500.0,56400.0,83900.0,94400.0,53100.0,11300.0,30915.0,118300.0,40358.0,57700.0,4800,62000.0,38100.0,9400.0,15200,38700.0
1995,1917772.0,54000.0,33693.0,93600.0,68658.0,49300.0,94900.0,56100.0,75000.0,53700.0,112200.0,16465.0,66714.0,39100.0,55100.0,119000.0,105700.0,57900.0,84600.0,98900.0,55300.0,11800.0,31169.0,120400.0,40260.0,59500.0,4900,62800.0,38823.0,9200.0,15200,39600.0
1996,1941235.0,54091.0,32975.0,79500.0,61049.0,50300.0,96000.0,55600.0,75000.0,52400.0,113400.0,69200.0,67000.0,40300.0,50900.0,128000.0,105700.0,59200.0,95700.0,101300.0,57800.0,12200.0,30733.0,123200.0,43548.0,56400.0,4900,63000.0,37600.0,9100.0,12400,41700.0
1997,1984867.0,54909.0,32475.0,82700.0,61926.0,52400.0,99100.0,56300.0,77000.0,51300.0,115800.0,72200.0,66800.0,40800.0,51900.0,130000.0,106700.0,60900.0,106100.0,103800.0,59400.0,12700.0,43178.0,124500.0,43236.0,59100.0,5100,62300.0,38100.0,9800.0,12800,43000.0
1998,1999521.0,51902.0,31482.0,104000.0,62249.0,52000.0,98000.0,58900.0,76000.0,50300.0,116000.0,70000.0,68000.0,42000.0,53000.0,133000.0,106800.0,63000.0,93000.0,105000.0,60000.0,13000.0,43423.0,127000.0,44138.0,59000.0,5000,61700.0,38000.0,10000.0,11000,43000.0
1999,2044672.0,52646.0,30273.0,108000.0,63609.0,55000.0,99900.0,61500.0,78000.0,50600.0,115900.0,73300.0,69000.0,42000.0,53100.0,139000.0,108900.0,65800.0,97000.0,108400.0,60800.0,12900.0,44453.0,129400.0,45473.0,60700.0,5200,63700.0,38800.0,9800.0,10000,44000.0
2000,2076000.0,52000.0,30000.0,91700.0,64900.0,55800.0,100400.0,59700.0,78000.0,49900.0,114400.0,16317.0,69943.0,41500.0,54400.0,145000.0,111100.0,103000.0,88700.0,111200.0,61500.0,12900.0,44940.0,130400.0,45700.0,62600.0,5300,64300.0,37695.0,9600.0,10100,44800.0
2001,2099658.0,52100.0,29215.0,114000.0,65340.0,57400.0,101500.0,61700.0,79500.0,48500.0,114600.0,76900.0,71610.0,42400.0,53200.0,149000.0,111200.0,69100.0,104100.0,113600.0,61300.0,12400.0,44666.0,130600.0,46412.0,62300.0,5100,66000.0,38400.0,9600.0,10500,43000.0
2002,1843995.0,47236.0,23888.0,79552.0,59060.0,8965.0,78741.0,42100.0,12456.0,43800.0,102200.0,67132.0,59527.0,31565.0,41797.0,154000.0,101700.0,77666.0,67166.0,95430.0,45694.0,10168.0,37873.0,33378.0,36964.0,44134.0,2990,59500.0,28170.0,7608.0,8846,31526.0
2003,1942364.0,47887.0,22780.0,97141.0,58659.0,9063.0,92835.0,47600.0,63876.0,44100.0,104000.0,79310.0,62112.0,41252.0,9764.0,134000.0,106400.0,17300.0,90507.0,108677.0,50155.0,11850.0,37122.0,34124.0,36911.0,52967.0,4299,60300.0,35094.0,9099.0,10666,40437.0
2004,1999457.0,49091.0,25299.0,101070.0,59741.0,8925.0,92265.0,58300.0,63974.0,43800.0,106000.0,83052.0,64483.0,43586.0,10092.0,139000.0,109400.0,89852.0,89934.0,113266.0,53390.0,12111.0,36603.0,34531.0,36911.0,53248.0,4356,59700.0,34451.0,8635.0,10698,43053.0
2005,2042135.0,50913.0,25088.0,83074.0,58617.0,8662.0,77965.0,56400.0,57515.0,44000.0,108700.0,17833.0,66102.0,33979.0,10179.0,141000.0,111100.0,81869.0,79900.0,118000.0,45885.0,11811.0,37321.0,35832.0,35500.0,12948.0,3728,60300.0,29701.0,6866.0,9426,35552.0
2006,2099064.0,52795.0,25358.0,106086.0,60262.0,8293.0,94321.0,59100.0,64895.0,45500.0,114600.0,94524.0,69421.0,46051.0,10026.0,146000.0,115500.0,90149.0,87853.0,130551.0,56661.0,12195.0,37511.0,41446.0,41147.0,56476.0,4310,60600.0,36018.0,8575.0,10991,42775.0
2007,2122925.0,55285.0,26228.0,108224.0,66791.0,8005.0,90631.0,57000.0,66984.0,48800.0,118814.0,98016.0,69472.0,40114.0,8696.0,150000.0,115900.0,92242.0,92527.0,138302.0,58160.0,12587.0,38739.0,34848.0,42100.0,56586.0,3853,59300.0,35158.0,8713.0,11185,43551.0
2008,2201904.0,59053.0,25865.0,109968.0,73107.0,7816.0,90714.0,57500.0,66771.0,51200.0,119700.0,101897.0,73845.0,43013.0,9128.0,160000.0,119300.0,92700.0,96305.0,144467.0,60842.0,12850.0,39417.0,25324.0,38830.0,57276.0,4376,58100.0,36200.0,9558.0,11482,43456.0
2009,2329206.0,62853.0,27261.0,124127.0,80601.0,7983.0,95678.0,58700.0,74178.0,51100.0,125220.0,113852.0,79230.0,55066.0,8268.0,169000.0,139600.0,97869.0,105790.0,155700.0,66813.0,14117.0,41943.0,29594.0,40171.0,60509.0,4552,61300.0,36749.0,10221.0,12088,46750.0
2010,2413259.0,66165.0,28500.0,133994.0,85376.0,8013.0,96862.0,62100.0,80282.0,51300.0,129000.0,24345.0,81097.0,58630.0,8527.0,178000.0,154800.0,99500.0,104200.0,175100.0,70816.0,14456.0,47969.0,29843.0,42200.0,63306.0,4469,62800.0,38249.0,10564.0,12267,49056.0
2011,2466094.0,69749.0,29833.0,136801.0,82547.0,8815.0,97744.0,59600.0,76780.0,52100.0,134700.0,20943.0,84696.0,62484.0,62839.0,186000.0,155800.0,102094.0,112630.0,179400.0,74153.0,15527.0,49585.0,31489.0,44000.0,64684.0,4175,65700.0,41121.0,11396.0,12258,49530.0
2012,2616064.0,82192.0,30710.0,142989.0,87319.0,9428.0,100972.0,61500.0,78589.0,54200.0,157902.0,129998.0,92061.0,66740.0,67077.0,201000.0,167700.0,109149.0,116440.0,198966.0,78043.0,15525.0,51990.0,33272.0,49179.0,68466.0,4043,69500.0,42956.0,11918.0,13011,50540.0
2013,2794754.0,85819.0,32059.0,150197.0,88182.0,9555.0,103426.0,62000.0,10318.0,58100.0,169700.0,138289.0,99000.0,72642.0,11412.0,232000.0,180600.0,117191.0,127400.0,203700.0,83310.0,16770.0,55221.0,34805.0,55900.0,74860.0,5176,74400.0,43442.0,13239.0,14317,53020.0
2014,2892518.0,89590.0,33340.0,157725.0,89852.0,9558.0,101636.0,63234.0,81371.0,61300.0,178551.0,145725.0,103742.0,75324.0,74647.0,231000.0,189300.0,126123.0,133372.0,216799.0,86525.0,17617.0,58007.0,34494.0,57845.0,75426.0,5609,76500.0,47681.0,12953.0,15023,54805.0
2015,3039135.0,96445.0,35871.0,166881.0,90216.0,9376.0,104552.0,67300.0,10215.0,63100.0,189200.0,22284.0,108000.0,77984.0,13103.0,237000.0,198600.0,135997.0,150800.0,229389.0,91585.0,19001.0,61013.0,33110.0,63400.0,79567.0,6213,79500.0,49663.0,13791.0,15860,57283.0
2016,3191005.0,100878.0,37804.0,177140.0,91748.0,9405.0,109806.0,69600.0,12330.0,65500.0,204700.0,23169.0,114000.0,79685.0,13173.0,245000.0,206800.0,142400.0,160627.0,244139.0,96673.0,20148.0,64700.0,32171.0,69000.0,85876.0,6542,85700.0,53000.0,13670.0,17070,60302.0
