年份,中国,北京市,天津市,河北省,山西省,内蒙古,辽宁省,吉林省,黑龙江,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西,海南省,重庆市,四川省,贵州省,云南省,西藏,陕西省,甘肃省,青海省,宁夏,新疆
1990.0,1012690.0,4953.0,3392.0,10586.0,6108.0,5161.0,7863.0,4407.0,8945.0,7690.0,12366.0,8917.0,7336.0,4885.0,5632.0,11040.0,8676.0,10472.0,10552.0,8989.0,5791.0,3167.0,3167.0,15056.0,6949.0,6671.0,1110.0,6416.0,4132.0,1218.0,1163.0,3945.0
1991.0,1003769.0,4970.0,3397.0,10647.0,6121.0,5172.0,7736.0,4369.0,8878.0,7554.0,12377.0,8983.0,7359.0,4867.0,5632.0,11141.0,8639.0,10509.0,10557.0,9032.0,5865.0,3154.0,3154.0,15077.0,6908.0,6708.0,1197.0,6433.0,4178.0,1184.0,1129.0,3937.0
1992.0,1001310.0,4868.0,3287.0,10715.0,5935.0,5253.0,7921.0,4189.0,8853.0,7363.0,12277.0,8861.0,7035.0,4914.0,5620.0,10865.0,8375.0,10590.0,10579.0,8989.0,5839.0,2517.0,2517.0,15005.0,4734.0,6765.0,1223.0,6404.0,4192.0,1187.0,1120.0,3985.0
1993.0,1000531.0,4962.0,3182.0,10958.0,6085.0,4932.0,7132.0,4006.0,7702.0,6077.0,12074.0,8769.0,6637.0,4522.0,5389.0,10881.0,7669.0,10268.0,9604.0,8572.0,5549.0,1646.0,1646.0,14255.0,3908.0,6469.0,1068.0,6215.0,4141.0,1172.0,1037.0,3894.0
1994.0,1005271.0,4958.0,3182.0,10274.0,5996.0,4918.0,6849.0,3920.0,7714.0,5606.0,12067.0,8718.0,6585.0,4537.0,5432.0,10654.0,7656.0,9762.0,9931.0,8720.0,5564.0,1647.0,1647.0,14217.0,3930.0,6474.0,1152.0,6227.0,4134.0,1177.0,1037.0,3907.0
1995.0,994409.0,4955.0,3182.0,10266.0,5922.0,4915.0,6239.0,3891.0,7637.0,5286.0,12039.0,8723.0,6593.0,4537.0,5423.0,10463.0,7661.0,9744.0,9137.0,8848.0,5571.0,1653.0,1653.0,14094.0,3934.0,6400.0,1198.0,6215.0,4131.0,1176.0,1028.0,3932.0
1996.0,1078131.0,6470.0,4171.0,5402.0,3289.0,5037.0,6333.0,3720.0,7065.0,5200.0,14944.0,8970.0,6261.0,4543.0,7966.0,11968.0,7253.0,9167.0,9031.0,8921.0,5470.0,2420.0,4777.0,13965.0,10932.0,11122.0,1300.0,6033.0,9109.0,1201.0,476.0,7259.0
1997.0,1048657.0,6577.0,3571.0,5392.0,3286.0,4863.0,6749.0,3663.0,7676.0,5028.0,13386.0,8415.0,7911.0,10059.0,8056.0,10993.0,7194.0,11562.0,9177.0,8942.0,13851.0,2595.0,4743.0,31878.0,8955.0,11454.0,1324.0,5947.0,8962.0,1201.0,482.0,6614.0
1998.0,1042885.0,5722.0,3190.0,20071.0,8592.0,7517.0,11710.0,6321.0,7620.0,5467.0,13364.0,17457.0,7699.0,10159.0,7972.0,14642.0,11774.0,11584.0,17737.0,8805.0,13888.0,2598.0,3171.0,31917.0,9113.0,11867.0,1307.0,10440.0,8977.0,1903.0,485.0,6615.0
1999.0,1017673.0,5990.0,2969.0,20023.0,8591.0,7535.0,11994.0,6674.0,7573.0,5362.0,13699.0,16712.0,6778.0,10154.0,7953.0,14611.0,11643.0,11311.0,17813.0,8699.0,13319.0,2460.0,3080.0,32633.0,9703.0,11875.0,1254.0,10563.0,8976.0,2406.0,484.0,6608.0
